Programas,Empreendimentos,Latitude,Longitude,Nr_Contrato,Status,Tipo_Contrato_Dash
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Doutor Plínio de Queiroz,"-23,555663","-46,649717",209/SIURB/2023,Concluído,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Engenheiro Orlando Murgel,"-23,528245","-46,648244",025/SPOBRAS/2025,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Engenheiro Orlando Murgel,"-23,528245","-46,648244",081/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Engenheiro Romero Zander,"-23,535617","-46,633460",094/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Florêncio de Abreu,"-23,540671","-46,632824",075/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto General Couto de Magalhães,"-23,534653","-46,637056",095/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto General Olímpio da Silveira,"-23,531963","-46,659874",058/SIURB/2019,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto General Olímpio da Silveira,"-23,531963","-46,659874",125/SIURB/2022,Concluído,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Glicério,"-23,556471","-46,630871",094/SIURB/2019,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Glicério,"-23,556471","-46,630871",138/SPOBRAS/2023,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Governador Roberto Abreu Sodré,"-23,553733","-46,625204",094/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Governador Roberto Abreu Sodré,"-23,553733","-46,625204",170/SIURB/2023,Concluído,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Guilherme de Almeida (Liberdade),"-23,556447","-46,636221",095/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Jacarei,"-23,551025","-46,640943",021/SPOBRAS/2025,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Jacarei,"-23,551025","-46,640943",077/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Major Quedinho,"-23,549766","-46,643077",062/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Martinho Prado,"-23,551220","-46,645774",075/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Martinho Prado,"-23,551220","-46,645774",114/SIURB/2023,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Naor Guelfi,"-23,549766","-46,643077",062/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Naor Guelfi,"-23,549766","-46,643077",127/SIURB/2022,Concluído,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Nove de Julho,"-23,549675","-46,642321",021/SPOBRAS/2025,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Nove de Julho,"-23,549675","-46,642321",077/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Nove de Julho,"-23,549675","-46,642321",103/SIURB/2022,Concluído,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Pacaembu,"-23,526181","-46,660649",056/SIURB/2020,Concluído,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Pacaembu,"-23,526181","-46,660649",077/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Presidente João Goulart (Minhocão),"-23,548133","-46,647481",074/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Santa Efigênia,"-23,542767","-46,635463",076/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Santa Efigênia,"-23,542767","-46,635463",107/SIURB/2023,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto São Carlos,"-23,567131","-46,603886",027/SPOBRAS/2025,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto São Carlos,"-23,567131","-46,603886",079/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Trinta e Um de Março (Viaduto Therezinha Zerbini),"-23,553962","-46,626370",092/SIURB/2020,Concluído,Projetos - Serviços
OPERAÇÃO URBANA CENTRO,Praça das Artes,"-23,545517","-46,637247",004/SPOBRAS/2023,Concluído,Obras
OPERAÇÃO URBANA CENTRO,Praça das Artes,"-23,545517","-46,637247",012/SIURB/2016,Concluído,Obras
SEM PROGRAMA ESPECÍFICO,Arquivo Geral - Novo (corrigir Endereço),"-23,550310","-46,634201",008/SPOBRAS/2024,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Calçadão Quadrilátero República,"-23,546103","-46,641112",009/SPOBRAS/2025,Andamento,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Calçadão Quadrilátero República,"-23,546103","-46,641112",030/SPOBRAS/2025,Andamento,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Calçadão Quadrilátero República,"-23,546103","-46,641112",035/SIURB/2025,Andamento,Obras
SEM PROGRAMA ESPECÍFICO,Calçadão Quadrilátero República,"-23,546103","-46,641112",060/SIURB/2021,Andamento,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Calçadão Triângulo Histórico,"-23,546695","-46,635472",003/SIURB/2020,Andamento,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Calçadão Triângulo Histórico,"-23,546695","-46,635472",009/SPOBRAS/2025,Andamento,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Calçadão Triângulo Histórico,"-23,546695","-46,635472",030/SPOBRAS/2025,Andamento,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Calçadão Triângulo Histórico,"-23,546695","-46,635472",054/SIURB/2022,Andamento,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Calçadão Triângulo Histórico,"-23,546695","-46,635472",215/SIURB/2022,Concluído,Obras
SEM PROGRAMA ESPECÍFICO,Calçadão Triângulo Histórico,"-23,546695","-46,635472",249/SIURB/2022,Concluído,Obras
SEM PROGRAMA ESPECÍFICO,Calçadão Triângulo Histórico,"-23,546695","-46,635472",284/SIURB/2022,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,"Calçadas - Viaduto do Chá, Entorno Theatro Municipal e Praça do Patriarca","-23,546718","-46,637719",086/SPOBRAS/2024,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Ligação Leste - Oeste - Passagem Sob a Praça Roosevelt),"-23,548516","-46,646334", 009/SIURB/2025,Andamento,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Ligação Leste - Oeste - Passagem Sob a Praça Roosevelt),"-23,548516","-46,646334",024/SIURB/2020,Concluído,Obras
SEM PROGRAMA ESPECÍFICO,Nova Sede do Conselho Municipal da Pessoa com Deficiência - SMPED,"-23,545500","-46,636090",023/SPOBRAS/2022,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Nova Sede do Conselho Municipal da Pessoa com Deficiência - SMPED,"-23,545500","-46,636090",111/SPOBRAS/2022,Concluído,Obras
SEM PROGRAMA ESPECÍFICO,Othon Palace Hotel,"-23,547824","-46,636813",087/SIURB/2015,Concluído,Obras
SEM PROGRAMA ESPECÍFICO,Parque Minhocão,"-23,536028","-46,651622",060/SIURB/2020,Andamento,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Parque Minhocão,"-23,536028","-46,651622",115/SIURB/2019,Concluído,Obras
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",025/SMSO/2017,Concluído,Obras
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 102.918/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 102.920/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 102.932/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 102.941/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 102.942/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 102.945/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 102.953/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 102.959/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 102.961/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 102.969/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 103.027/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE nº 110.096/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 110.126/2020,Concluído,Projetos - Serviços
